Column1,code_2,category,description_2,code_3,description_3,abbreviations,id,link
55,I70,Atherosclerosis,Atherosclerosis,I70.208,Unspecified atherosclerosis of native arteries of extremities other extremity,I70 | I70.208 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,a438543b-c205-5ca7-8b08-e2be8a246c96,
56,I70,Atherosclerosis,Atherosclerosis,I70.209,Unspecified atherosclerosis of native arteries of extremities unspecified extremity,I70 | I70.209 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,ea8d63a6-1ac4-523f-9878-57a2875fef24,
362,I25,Ischemic Heart Disease,Chronic ischemic heart disease,I25.701,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm",I25 |  I25.701 | Ischemic Heart Disease | Ischemic Heart Disease (IHD) | Atherosclerosis of CABG | CAD | Coronary Artery Disease |,655fac8e-6045-5caf-8c94-3b6d32a73484,
63,I70,Atherosclerosis,Atherosclerosis,I70.22,Atherosclerosis of native arteries of extremities with rest pain,I70 | I70.22 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,3617088f-3857-558d-8d30-7caa4ca00870,
399,I25,Ischemic Heart Disease,Chronic ischemic heart disease,I25.792,Atherosclerosis of other coronary artery bypass graft(s) with refractory angina pectoris,I25 |  I25.792 | Ischemic Heart Disease | Ischemic Heart Disease (IHD) | Atherosclerosis of CABG with angina | CAD | Coronary Artery Disease | ,294a0346-3faa-5e88-a5da-bda9d2bf658f,
64,I70,Atherosclerosis,Atherosclerosis,I70.221,Atherosclerosis of native arteries of extremities with rest pain right leg,I70 | I70.221 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,e1f2b481-7977-5914-96d1-16f5b22b0eda,
65,I70,Atherosclerosis,Atherosclerosis,I70.222,Atherosclerosis of native arteries of extremities with rest pain left leg,I70 | I70.222 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,f2f83020-a26f-57b1-8395-344e38252f32,
66,I70,Atherosclerosis,Atherosclerosis,I70.223,Atherosclerosis of native arteries of extremities with rest pain bilateral legs,I70 | I70.223 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,cfb37fd8-4d3b-5cee-aeb0-d31ffc1ed180,
67,I70,Atherosclerosis,Atherosclerosis,I70.228,Atherosclerosis of native arteries of extremities with rest pain other extremity,I70 | I70.228 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,e577b88d-6ffe-56cf-ab13-d103cb0f947f,
68,I70,Atherosclerosis,Atherosclerosis,I70.229,Atherosclerosis of native arteries of extremities with rest pain unspecified extremity,I70 | I70.229 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,f35e063e-266b-510d-9a58-c0fc277a3a10,
