Column1,code_2,category,description_2,code_3,description_3,abbreviations,id,link
0,C00,Lip cancer,Malignant neoplasm of lip,C00.0              ,Malignant neoplasm of external upper lip,C00 | C00.0  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,3c67e325-5eef-5655-87ac-08cc0142b04f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.0
1,C00,Lip cancer,Malignant neoplasm of lip,C00.1,Malignant neoplasm of external lower lip,C00 | C00.1  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,383c55de-4fa9-5c8a-af3d-db6d27755f44,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.1
2,C00,Lip cancer,Malignant neoplasm of lip,C00.2,"Malignant neoplasm of external lip, unspecified",C00 | C00.2  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,ec23013b-b507-5d4e-9bfd-54502a1837c8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.2
3,C00,Lip cancer,Malignant neoplasm of lip,C00.3,"Malignant neoplasm of upper lip, inner aspect",C00 | C00.3  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,f14f4a88-78f4-511a-9b96-2078c69ebb6f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.3
4,C00,Lip cancer,Malignant neoplasm of lip,C00.4,"Malignant neoplasm of lower lip, inner aspect",C00 | C00.4  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,cb03f308-c881-58da-8af6-f214c6f710b7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.4
5,C00,Lip cancer,Malignant neoplasm of lip,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",C00 | C00.5  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,69f68f73-92c7-5c5b-8fbf-2bd2bb3015b8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.5
6,C00,Lip cancer,Malignant neoplasm of lip,C00.6,"Malignant neoplasm of commissure of lip, unspecified",C00 | C00.6  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,1febfeb7-8ede-54f7-916d-8ab00385cf00,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.6
7,C00,Lip cancer,Malignant neoplasm of lip,C00.8,Malignant neoplasm of overlapping sites of lip,C00 | C00.8  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,517a86a1-9428-5812-b5d4-714f31a6bea1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.8
8,C00,Lip cancer,Malignant neoplasm of lip,C00.9,"Malignant neoplasm of lip, unspecified",C00 | C00.9  | Lip Cancer | Lip malignancy | malignancy of lip | lip's cancer | vermilion border cancer | Lip Carcinoma |,4cae09c1-6bb3-5db8-8932-5f1d9929cfe2,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.9
9,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.0,Malignant neoplasm of dorsal surface of tongue,C02 | C02.0 | Tongue Carcinoma| Tongue Malignancy | Glossal Cancer  | Tongue Cancer |,b74bdd58-d6ad-5d8e-840b-14bf29052288,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.0
10,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.1,Malignant neoplasm of border of tongue,C02 | C02.1 | Tongue Carcinoma|  Tongue Malignancy | Glossal Cancer  | Tongue Cancer |,482c4d71-4996-5734-be38-9cc47d682b65,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.1
11,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.2,Malignant neoplasm of ventral surface of tongue,C02 | C02.2 | Tongue Carcinoma|  Tongue Malignancy | Glossal Cancer  |Tongue Cancer |,1a6e7235-7a77-5cd5-935e-dc5272b4e2ff,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.2
12,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",C02 | C02.3 | Tongue Carcinoma| Tongue Malignancy | Glossal Cancer  | Tongue Cancer |,860fdaa1-cfa8-5a60-b2ae-7c8828939f35,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.3
13,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.4,Malignant neoplasm of lingual tonsil,C02 | C02.4 | Tongue Carcinoma| Lingual Cancer| Tongue Malignancy | Glossal Cancer  | Lingual Cancer | Tongue Cancer |,ff450439-081a-537c-9433-4d566e10e5f0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.4
145,C43,Skin Cancer,Malignant melanoma of skin,C43.2,Malignant melanoma of ear and external auricular canal,C43 | C43.2 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Ear Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,6b121479-f6d5-53a2-b694-822e4fafda91,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C43-C44/C43-/C43.2
14,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.8,Malignant neoplasm of overlapping sites of tongue,C02 | C02.8 | Tongue Carcinoma| Lingual Cancer| Tongue Malignancy | Glossal Cancer  | Lingual Cancer | Tongue Cancer |,3eba0edc-e54c-5a51-9617-173959315ce9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.8
15,C02,Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02.9,"Malignant neoplasm of tongue, unspecified",C02 | C02.9 | Tongue Carcinoma| Lingual Cancer| Tongue Malignancy | Glossal Cancer  | Lingual Cancer | Tongue Cancer |,71509ff9-5699-5d23-a259-2697e3da1f12,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.9
16,C03,Gum Cancer,Malignant neoplasm of gum,C03.0,Malignant neoplasm of upper gum,C03 | C03.0 | Gingival Cancer | Squamous Cell Carcinoma of Gum |  Gingival Carcinoma | gingival squamous cell carcinoma | GSCC | Gum Cancer |,47b73633-1191-5657-96e7-3234ad0f234c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.0
17,C03,Gum Cancer,Malignant neoplasm of gum,C03.1,Malignant neoplasm of lower gum,C03 | C03.1 | Gingival Cancer | Squamous Cell Carcinoma of Gum |  Gingival Carcinoma | gingival squamous cell carcinoma | GSCC | Gum Cancer |,a8ec46a8-7bda-5101-90ca-a6ababe541e5,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.1
18,C03,Gum Cancer,Malignant neoplasm of gum,C03.9,"Malignant neoplasm of gum, unspecified",C03 | C03.9 | Gingival Cancer | Squamous Cell Carcinoma of Gum |  Gingival Carcinoma | gingival squamous cell carcinoma | GSCC | Gum Cancer |,09230294-9209-5831-8737-f904bdf8ab04,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.9
19,C05,Palate Cancer,Malignant neoplasm of palate,C05.0,Malignant neoplasm of hard palate,C05 | C05.0  | Palate malignancy | Palate Cancer |,0c2bdc14-c7b6-5ae0-a9f2-ef2495cd2955,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.0
20,C05,Palate Cancer,Malignant neoplasm of palate,C05.1,Malignant neoplasm of soft palate,C05 | C05.1 | Palate malignancy | Palate Cancer |,8fbd378d-8274-521e-936e-9ecc01afb567,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.1
21,C05,Palate Cancer,Malignant neoplasm of palate,C05.2,Malignant neoplasm of uvula,C05 | C05.2 | Uvula cancer | Uvula malignancy | Palate Cancer |,8d5e8adc-f908-5287-8495-3e6f8c85398d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.2
22,C05,Palate Cancer,Malignant neoplasm of palate,C05.8,Malignant neoplasm of overlapping sites of palate,C05 | C05.8 | Palate malignancy | Palate Cancer |,becf2d30-67ca-5b5f-81ee-00c319b08fa6,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.8
23,C05,Palate Cancer,Malignant neoplasm of palate,C05.9,"Malignant neoplasm of palate, unspecified",C05 | C05.9 | Palate malignancy | Palate Cancer |,9af428ed-1e59-5e71-ac21-b4798ac491e9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.9
24,C08,Salivary Gland Cancer,Malignant neoplasm of other and unspecified major salivary glands,C08.0,Malignant neoplasm of submandibular gland,C08 | C08.0 | Sub-mandibular gland cancer | Submandibular gland cancer | Sub maxillary gland cancer | Sub-maxillary gland cancer | Salivary Gland Cancer |,b63c2eaf-18e0-5126-85fc-33b4112f893a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C08-/C08.0
25,C08,Salivary Gland Cancer,Malignant neoplasm of other and unspecified major salivary glands,C08.1,Malignant neoplasm of sublingual gland,C08 | C08.1 | Sublingual gland cancer | Sub-lingual gland cancer | Salivary Gland Cancer |,c7f59d68-edba-5883-bd46-cae900fbb11b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C08-/C08.1
26,C08,Salivary Gland Cancer,Malignant neoplasm of other and unspecified major salivary glands,C08.9,"Malignant neoplasm of major salivary gland, unspecified",C08 | C08.9 | Salivary Duct Carcinoma | Salivary Neoplasm | Salivary Gland Cancer | Salivary Gland Cancer |,f92ddfca-181f-55c4-b68e-bc4f886a60e8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C08-/C08.9
27,C09,Tonsil Cancer,Malignant neoplasm of tonsil,C09.0,Malignant neoplasm of tonsillar fossa,C09 | C09.0 | Squamous Cell Carcinoma of Tonsil | SCCT | Tonsillar Cancer | Tonsil Cancer |,bddc958f-b9a2-536d-8160-6aa2eb70053f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.0
28,C09,Tonsil Cancer,Malignant neoplasm of tonsil,C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior),C09 | C09.1 | Squamous Cell Carcinoma of Tonsil | SCCT | Tonsillar Cancer | Tonsil Cancer |,d0dde6ac-dd06-5958-aafb-16e44bcebc43,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.1
29,C09,Tonsil Cancer,Malignant neoplasm of tonsil,C09.8,Malignant neoplasm of overlapping sites of tonsil,C09 | C09.8 | Squamous Cell Carcinoma of Tonsil | SCCT | Tonsillar Cancer | Tonsil Cancer |,8fe659d6-b9b8-5274-b24e-61eae6a030fc,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.8
30,C09,Tonsil Cancer,Malignant neoplasm of tonsil,C09.9,"Malignant neoplasm of tonsil, unspecified",C09 | C09.9 | Squamous Cell Carcinoma of Tonsil | SCCT | Tonsillar Cancer | Tonsil Cancer |,a280a394-e6f3-5bed-9b2c-657c376eabc7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.9
31,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.0,Malignant neoplasm of vallecula,C10 | C10.0 | Vallecula cancer | Oropharyngeal cancer | oropharyngeal squamous cell carcinoma | Pharyngeal Cancer | ,ba3f45b7-8b13-556e-ac10-705b00787742,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.0
32,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.1,Malignant neoplasm of anterior surface of epiglottis,C10 | C10.1 | epiglottis cancer | Oropharyngeal cancer | oropharyngeal squamous cell carcinoma | Pharyngeal Cancer | ,0b51d8db-fed7-5c56-9888-c3cac7de2293,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.1
33,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.2,Malignant neoplasm of lateral wall of oropharynx,C10 | C10.2 | oropharyngeal squamous cell carcinoma |  Oropharyngeal cancer | Pharyngeal Cancer | ,14ab07fe-9b91-5f69-a66a-cd9c3c7cadac,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.2
34,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.3,Malignant neoplasm of posterior wall of oropharynx,C10 | C10.3 |  oropharyngeal squamous cell carcinoma | Oropharyngeal cancer | Pharyngeal Cancer | ,a11de1a0-1568-5f4e-b400-3a13bc22b18b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.3
35,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.4,Malignant neoplasm of branchial cleft,C10 | C10.4 |  oropharyngeal squamous cell carcinoma | Oropharyngeal cancer | Branchial cleft cancer | Pharyngeal Cancer | ,c160dcba-635e-53ef-96fc-f1f1796c77c5,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.4
36,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.8,Malignant neoplasm of overlapping sites of oropharynx,C10 | C10.8 | oropharyngeal squamous cell carcinoma |  Oropharyngeal cancer | Pharyngeal Cancer | ,5925a1c2-c40f-52dc-bfaa-4e3804d08749,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.8
37,C10,Oropharyngeal cancer,Malignant neoplasm of oropharynx,C10.9,"Malignant neoplasm of oropharynx, unspecified",C10 | C10.9 | oropharyngeal squamous cell carcinoma |Oropharyngeal cancer | Pharyngeal Cancer | ,09de6137-4d79-5aaa-95f1-9e9165315627,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.9
38,C11,Nasopharyngeal cancer,Malignant neoplasm of nasopharynx,C11.0,Malignant neoplasm of superior wall of nasopharynx,C11 | C11.0 | Nasopharyngeal Carcinoma | Pharyngeal Cancer | Nasopharyngeal Cancer |,0cb29eee-56c2-549a-9c51-ad904ca34a76,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.0
39,C11,Nasopharyngeal cancer,Malignant neoplasm of nasopharynx,C11.1,Malignant neoplasm of posterior wall of nasopharynx,C11 | C11.1 | Nasopharyngeal Carcinoma | Pharyngeal Cancer | Nasopharyngeal Cancer |,251402c5-8e84-52e0-8226-cac8665b619e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.1
40,C11,Nasopharyngeal cancer,Malignant neoplasm of nasopharynx,C11.2,Malignant neoplasm of lateral wall of nasopharynx,C11 | C11.2 | Nasopharyngeal Carcinoma | Pharyngeal Cancer | Nasopharyngeal Cancer |,1bd54001-ded0-55a8-853c-9d45aefaabd0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.2
41,C11,Nasopharyngeal cancer,Malignant neoplasm of nasopharynx,C11.3,Malignant neoplasm of anterior wall of nasopharynx,C11 | C11.3 | Nasopharyngeal Carcinoma | Pharyngeal Cancer | Nasopharyngeal Cancer |,a9e3cb17-e22e-50cf-b35e-0253a7bd8b38,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.3
42,C11,Nasopharyngeal cancer,Malignant neoplasm of nasopharynx,C11.8,Malignant neoplasm of overlapping sites of nasopharynx,C11 | C11.8 | Nasopharyngeal Carcinoma | Pharyngeal Cancer | Nasopharyngeal Cancer |,7f796df2-2520-5be1-b1a4-f6fb1d4e4b7f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.8
43,C11,Nasopharyngeal cancer,Malignant neoplasm of nasopharynx,C11.9,"Malignant neoplasm of nasopharynx, unspecified",C11 | C11.9 | Nasopharyngeal Carcinoma  | Pharyngeal Cancer | Nasopharyngeal Cancer |,da1bf97b-4905-5144-a6c9-202ebff19d38,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.9
44,C13,Hypopharyngeal cancer,Malignant neoplasm of hypopharynx,C13.0,Malignant neoplasm of postcricoid region,C13 | C13.0 | Squamous Cell Carcinoma of Hypopharynx | Hypopharyngeal Carcinoma | Pharyngeal Cancer | Hypopharyngeal cancer | ,b54ca1f2-fe9a-5c76-b1ad-38da9ad1d84b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.0
45,C13,Hypopharyngeal cancer,Malignant neoplasm of hypopharynx,C13.1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",C13 | C13.1 | Squamous Cell Carcinoma of Hypopharynx | Hypopharyngeal Carcinoma | Pharyngeal Cancer | Hypopharyngeal cancer |,d73233ab-f85d-5a7b-958f-fdbcb9f38765,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.1
46,C13,Hypopharyngeal cancer,Malignant neoplasm of hypopharynx,C13.2,Malignant neoplasm of posterior wall of hypopharynx,C13 | C13.2 | Squamous Cell Carcinoma of Hypopharynx | Hypopharyngeal Carcinoma | Pharyngeal Cancer | Hypopharyngeal cancer |,3e5bf27f-4d8d-5b51-98ed-6b8445467a40,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.2
47,C13,Hypopharyngeal cancer,Malignant neoplasm of hypopharynx,C13.8,Malignant neoplasm of overlapping sites of hypopharynx,C13 | C13.8 | Squamous Cell Carcinoma of Hypopharynx | Hypopharyngeal Carcinoma | Pharyngeal Cancer | Hypopharyngeal cancer |,472d69a3-3fd8-5f56-9d6a-df4bd806544f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.8
48,C13,Hypopharyngeal cancer,Malignant neoplasm of hypopharynx,C13.9,"Malignant neoplasm of hypopharynx, unspecified",C13 | C13.9 | Squamous Cell Carcinoma of Hypopharynx | Hypopharyngeal Carcinoma | Pharyngeal Cancer | Hypopharyngeal cancer |,452afdf7-d05a-51ff-ae79-3a3de0fb8d7b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.9
49,C15,Esophageal cancer,Malignant neoplasm of esophagus,C15.3,Malignant neoplasm of upper third of esophagus,C15 | C15.3 | Esophageal cancer |  Esophageal Carcinoma | Esophageal Squamous Cell Carcinoma | ESCC | Esophageal Adenocarcinoma | EAC  | ,98e02696-f2e0-5a87-97d7-ce820ce78097,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.3
50,C15,Esophageal cancer,Malignant neoplasm of esophagus,C15.4,Malignant neoplasm of middle third of esophagus,C15 | C15.4 | Esophageal cancer |  Esophageal Carcinoma | Esophageal Squamous Cell Carcinoma | ESCC | Esophageal Adenocarcinoma | EAC  | ,ec95d603-4f80-59df-b808-b80e879407ef,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.4
51,C15,Esophageal cancer,Malignant neoplasm of esophagus,C15.5,Malignant neoplasm of lower third of esophagus,C15 | C15.5 | Esophageal cancer |  Esophageal Carcinoma | Esophageal Squamous Cell Carcinoma | ESCC | Esophageal Adenocarcinoma | EAC  | Gastroesophageal Junction Cancer  | GEJC | Gastroesophageal  Cancer |,86fa58f9-49df-5a19-be4e-30cf807ada33,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.5
52,C15,Esophageal cancer,Malignant neoplasm of esophagus,C15.8,Malignant neoplasm of overlapping sites of esophagus,C15 | C15.8 | Esophageal cancer |  Esophageal Carcinoma | Esophageal Squamous Cell Carcinoma | ESCC | Esophageal Adenocarcinoma | EAC  | ,23da84a0-1a41-5468-9d65-f3d8d87acaed,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.8
53,C15,Esophageal cancer,Malignant neoplasm of esophagus,C15.9,"Malignant neoplasm of esophagus, unspecified",C15 | C15.9 | Esophageal cancer |  Esophageal Carcinoma | Esophageal Squamous Cell Carcinoma | ESCC | Esophageal Adenocarcinoma | EAC  | ,e732e622-089d-5c48-bb4d-f4aef36c8f92,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.9
54,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.0,Malignant neoplasm of cardia,C16 | C16.0 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,72c66a60-4fa1-5467-9f63-fb287d5654b4,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.0
55,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.1,Malignant neoplasm of fundus of stomach,C16 | C16.1 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,d8b7b127-fe77-56f7-b95c-7529ccc9a41c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.1
56,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.2,Malignant neoplasm of body of stomach,C16 | C16.2 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,5a71f973-f22e-55d7-922b-8b65fb41791e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.2
57,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.3,Malignant neoplasm of pyloric antrum,C16 | C16.3 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,fe6c8584-c210-55e1-86d7-c469fcd759f0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.3
58,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.4,Malignant neoplasm of pylorus,C16 | C16.4 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,3fa773d5-8928-5e03-9f0f-b4ef0bff291c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.4
59,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",C16 | C16.5 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,75ebfa0f-a3a9-55c9-bd2a-5792d9656f23,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.5
60,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified",C16 | C16.6 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,e63b1f2e-ef9c-58da-943b-8909af010fbc,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.6
61,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.8,Malignant neoplasm of overlapping sites of stomach,C16 | C16.8 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma |  GEJC | Gastroesophageal Junction Cancer | Gastroesophageal  Cancer | Gastrointestinal Cancer | GIC |,92c20426-acb6-5c3a-8ec7-890f28b3f57d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.8
62,C16,Stomach Cancer,Malignant neoplasm of stomach,C16.9,"Malignant neoplasm of stomach, unspecified",C16 | C16.9 | Stomach Cancer | Gastric Cancer | Malignant Neoplasm of Stomach | Gastric Carcinoma | Stomach Carcinoma | Gastric Adenocarcinoma | ,530603dc-f678-53f4-b818-750fe8ca2c14,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.9
63,C17,Small intestine cancer,Malignant neoplasm of small intestine,C17.0,Malignant neoplasm of duodenum,C17 | C17.0 | Small Intestine Cancer | Malignant Neoplasm of Small Intestine | Small Bowel Cancer | Small Intestinal Carcinoma | Small Bowel Adenocarcinoma | SBA | Duodenal Cancer | Neuroendocrine Tumor of Small Intestine | SI-NET |,7de95c6a-03d4-5dfd-92a4-b92320f3b98a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.0
64,C17,Small intestine cancer,Malignant neoplasm of small intestine,C17.1,Malignant neoplasm of jejunum,C17 | C17.1 | Small Intestine Cancer | Malignant Neoplasm of Small Intestine | Small Bowel Cancer | Small Intestinal Carcinoma | Small Bowel Adenocarcinoma | SBA | Jejunal Cancer| Neuroendocrine Tumor of Small Intestine | SI-NET |,e2875d65-f00d-5b9a-ab45-468ea6481da2,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.1
65,C17,Small intestine cancer,Malignant neoplasm of small intestine,C17.2,Malignant neoplasm of ileum,C17 | C17.2 | Small Intestine Cancer | Malignant Neoplasm of Small Intestine | Small Bowel Cancer | Small Intestinal Carcinoma | Small Bowel Adenocarcinoma | SBA | Ileal Cancer | Neuroendocrine Tumor of Small Intestine | SI-NET | ,bedf1388-9db8-58e8-9cde-d2b9a650b581,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.2
66,C17,Small intestine cancer,Malignant neoplasm of small intestine,C17.3,"Meckel's diverticulum, malignant",C17 | C17.3 | Small Intestine Cancer | Malignant Neoplasm of Small Intestine | Small Bowel Cancer | Small Intestinal Carcinoma |Meckel’s Diverticulum Cancer | Meckel’s Diverticulum Adenocarcinoma | Neuroendocrine Tumor of Meckel’s Diverticulum |,589770b0-d62b-5c19-89c6-231fc279a978,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.3
146,C43,Skin Cancer,Malignant melanoma of skin,C43.20,Malignant melanoma of unspecified ear and external auricular canal,C43 | C43.20 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer |,84e12aaf-9de9-5b55-84a7-579472bf8d5a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C43-C44/C43-/C43.20
67,C17,Small intestine cancer,Malignant neoplasm of small intestine,C17.8,Malignant neoplasm of overlapping sites of small intestine,C17 | C17.8 | Small Intestine Cancer | Malignant Neoplasm of Small Intestine | Small Bowel Cancer | Small Intestinal Carcinoma | Small Bowel Adenocarcinoma | SBA | Duodenal Cancer | Jejunal Cancer | Ileal Cancer | Neuroendocrine Tumor of Small Intestine | SI-NET | GIC | Gastrointestinal Cancer,f4e54a2b-1d3d-5137-9636-055f07895bbf,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.8
68,C17,Small intestine cancer,Malignant neoplasm of small intestine,C17.9,"Malignant neoplasm of small intestine, unspecified",C17 | C17.9 | Small Intestine Cancer | Malignant Neoplasm of Small Intestine | Small Bowel Cancer | Small Intestinal Carcinoma | Small Bowel Adenocarcinoma | SBA | Duodenal Cancer | Jejunal Cancer | Ileal Cancer | Neuroendocrine Tumor of Small Intestine | SI-NET | ,6db0f547-e875-511c-9968-4fcc4dbf5e9e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.9
