Column1,code_2,Unnamed: 2,description_2,code_3,description_3,id,link,Category
66,I70,,Atherosclerosis,I70.223,Atherosclerosis of native arteries of extremities with rest pain bilateral legs,cfb37fd8-4d3b-5cee-aeb0-d31ffc1ed180,,Atherosclerosis
67,I70,,Atherosclerosis,I70.228,Atherosclerosis of native arteries of extremities with rest pain other extremity,e577b88d-6ffe-56cf-ab13-d103cb0f947f,,Atherosclerosis
68,I70,,Atherosclerosis,I70.229,Atherosclerosis of native arteries of extremities with rest pain unspecified extremity,f35e063e-266b-510d-9a58-c0fc277a3a10,,Atherosclerosis
69,I70,,Atherosclerosis,I70.23,Atherosclerosis of native arteries of right leg with ulceration,0bc1d596-2998-5ab4-902d-f46646d07c43,,Atherosclerosis
70,I70,,Atherosclerosis,I70.231,Atherosclerosis of native arteries of right leg with ulceration of thigh,c3dfbab1-6b58-50b7-b3e4-cc7fcc617272,,Atherosclerosis
71,I70,,Atherosclerosis,I70.232,Atherosclerosis of native arteries of right leg with ulceration of calf,0dff0f49-9890-50f3-bb7c-eea1bf763275,,Atherosclerosis
72,I70,,Atherosclerosis,I70.233,Atherosclerosis of native arteries of right leg with ulceration of ankle,1f093258-ea62-56d8-ad79-4c790cd1fc28,,Atherosclerosis
73,I70,,Atherosclerosis,I70.234,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,0e6deb94-6256-54e3-a6bb-12a01b7c7e5c,,Atherosclerosis
74,I70,,Atherosclerosis,I70.235,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,7a809134-0be8-5493-9c3c-2fa3a1b87e18,,Atherosclerosis
363,I25,,Chronic ischemic heart disease,I25.702,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris",32a4ffcc-de0a-501c-919c-e4997aa5034b,,Ischemic Heart Disease
75,I70,,Atherosclerosis,I70.238,Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,2a3506c1-6bfe-5180-b9a7-964fc44c6fdc,,Atherosclerosis
76,I70,,Atherosclerosis,I70.239,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,161f9d83-5426-590b-83be-9d5ba728176e,,Atherosclerosis
77,I70,,Atherosclerosis,I70.24,Atherosclerosis of native arteries of left leg with ulceration,d35a38a6-4b5a-5f68-b140-dde167df6d20,,Atherosclerosis
78,I70,,Atherosclerosis,I70.241,Atherosclerosis of native arteries of left leg with ulceration of thigh,bc183ba4-b132-5391-a4df-fb56a79c5a40,,Atherosclerosis
79,I70,,Atherosclerosis,I70.242,Atherosclerosis of native arteries of left leg with ulceration of calf,46452ad9-aab5-5794-9e22-79b2e156b17e,,Atherosclerosis
80,I70,,Atherosclerosis,I70.243,Atherosclerosis of native arteries of left leg with ulceration of ankle,b7f0e3e6-2caf-5148-8b48-2f063510e2f8,,Atherosclerosis
81,I70,,Atherosclerosis,I70.244,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,37df7f1b-7149-5fd4-935d-cc4dff8e2daf,,Atherosclerosis
82,I70,,Atherosclerosis,I70.245,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,a2bbbdd2-21e5-5526-8ede-15e783a98d11,,Atherosclerosis
83,I70,,Atherosclerosis,I70.248,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,be763183-af1b-5165-9559-3dac25a09b86,,Atherosclerosis
84,I70,,Atherosclerosis,I70.249,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,b21c6f1f-7d49-5094-8606-d73488e98613,,Atherosclerosis
85,I70,,Atherosclerosis,I70.25,Atherosclerosis of native arteries of other extremities with ulceration,36d67940-c3a7-560f-bcdc-aa97d4c2e794,,Atherosclerosis
355,I25,,Chronic ischemic heart disease,I25.4,Coronary artery aneurysm and dissection,04ee63a6-1408-54ad-8f6e-86cdf1219df9,,Ischemic Heart Disease
92,I70,,Atherosclerosis,I70.29,Other atherosclerosis of native arteries of extremities,e10c8747-a9c3-5ef2-ae49-e65b43d25dc2,,Atherosclerosis
93,I70,,Atherosclerosis,I70.291,Other atherosclerosis of native arteries of extremities right leg,236abb23-d9ba-5c7f-bd0a-ea28b94c5669,,Atherosclerosis
94,I70,,Atherosclerosis,I70.292,Other atherosclerosis of native arteries of extremities left leg,8f557647-c5d8-50f0-830d-0f23ace9e82c,,Atherosclerosis
95,I70,,Atherosclerosis,I70.293,Other atherosclerosis of native arteries of extremities bilateral legs,8500c097-1352-5022-b9c9-9c6d3bc143fa,,Atherosclerosis
96,I70,,Atherosclerosis,I70.298,Other atherosclerosis of native arteries of extremities other extremity,d9281986-b4d0-5e78-b55a-83586c3eecc1,,Atherosclerosis
97,I70,,Atherosclerosis,I70.299,Other atherosclerosis of native arteries of extremities unspecified extremity,3ffff896-0ade-5703-a561-c975c5f9dbbf,,Atherosclerosis
98,I70,,Atherosclerosis,I70.3,Atherosclerosis of unspecified type of bypass graft(s) of the extremities,6085a732-4e7b-596c-be2e-a0f4170d143a,,Atherosclerosis
99,I70,,Atherosclerosis,I70.30,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities,a3a1d169-1b94-56df-9ee9-a6c66790ad43,,Atherosclerosis
356,I25,,Chronic ischemic heart disease,I25.41,Coronary artery aneurysm,796b0a8e-276c-5770-99a6-b543583b90bf,,Ischemic Heart Disease
100,I70,,Atherosclerosis,I70.301,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities right leg,e142f9c5-02b0-5d6c-98a0-bc30ed74a53d,,Atherosclerosis
364,I25,,Chronic ischemic heart disease,I25.708,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris",ea86f1d5-76aa-5df4-bffa-2e7fdba0e965,,Ischemic Heart Disease
101,I70,,Atherosclerosis,I70.302,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities left leg,8e1a163c-cd41-5c91-8f14-4636959cb767,,Atherosclerosis
102,I70,,Atherosclerosis,I70.303,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities bilateral legs,84ccc3fb-b6e0-5ab5-80f4-a39481dde2b7,,Atherosclerosis
103,I70,,Atherosclerosis,I70.308,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities other extremity,9940d7dc-2c64-5827-b59c-1ca0aaf72c9a,,Atherosclerosis
