Column1,code_2,Unnamed: 2,description_2,code_3,description_3,id,link,Category
429,I63,,Cerebral infarction,I63.112,Cerebral infarction due to embolism of left vertebral artery,ac9770f7-774e-5944-b604-ed9ab8fdc4b3,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.112,Cerebral Infarction
430,I63,,Cerebral infarction,I63.10,Cerebral infarction due to embolism of unspecified precerebral artery,b40cb298-3b0d-5ebf-ae4b-4aa10379d010,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.10,Cerebral Infarction
431,I63,,Cerebral infarction,I63.11,Cerebral infarction due to embolism of vertebral artery,f7ca6fd1-c366-5351-8b90-95aa38708738,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.11,Cerebral Infarction
433,I63,,Cerebral infarction,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,03ec13b6-d71b-58da-a461-0ba0ae8f29e1,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.0,Cerebral Infarction
434,I63,,Cerebral infarction,I63.00,Cerebral infarction due to thrombosis of unspecified precerebral artery,60c19faa-dc0f-5c87-904d-549cb02bc32b,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.00,Cerebral Infarction
435,I63,,Cerebral infarction,I63.01,Cerebral infarction due to thrombosis of vertebral artery,2221c732-7b62-5367-b5c1-704bb3b885f3,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.01,Cerebral Infarction
436,I63,,Cerebral infarction,I63.011,Cerebral infarction due to thrombosis of right vertebral artery,0c1d2e4d-f797-5153-9f97-e764bcf82f85,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.011,Cerebral Infarction
437,I63,,Cerebral infarction,I63.012,Cerebral infarction due to thrombosis of left vertebral artery,98388f02-3a18-59ed-85c1-dd4a83180e6b,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.012,Cerebral Infarction
438,I63,,Cerebral infarction,I63.013,Cerebral infarction due to thrombosis of bilateral vertebral arteries,05d4f751-114e-5692-a112-03d6e0feb1ee,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.013,Cerebral Infarction
439,I63,,Cerebral infarction,I63.019,Cerebral infarction due to thrombosis of unspecified vertebral artery,ac6e757b-8cf4-5086-af61-eaef020cc563,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.019,Cerebral Infarction
440,I63,,Cerebral infarction,I63.02,Cerebral infarction due to thrombosis of basilar artery,3c6f3ccd-e110-5dae-93d4-431c30e6862f,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.02,Cerebral Infarction
441,I63,,Cerebral infarction,I63.03,Cerebral infarction due to thrombosis of carotid artery,22fbc34f-88d1-566b-b34a-3d1f98f0b0a1,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.03,Cerebral Infarction
442,I63,,Cerebral infarction,I63.031,Cerebral infarction due to thrombosis of right carotid artery,f54eb700-d984-50bb-a1d2-65cfc0853bb4,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.031,Cerebral Infarction
443,I63,,Cerebral infarction,I63.032,Cerebral infarction due to thrombosis of left carotid artery,b6dd59f2-5b79-57d8-bc81-c4d3100e2166,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.032,Cerebral Infarction
